fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-03-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,9","0,0","9,9",06:05,"17,9",14:33,61.0,79.0,19:30,42.0,Varias
2021-03-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,3","0,0","10,5",06:00,"16,1",13:14,66.0,83.0,03:10,47.0,09:20
2021-03-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,5","0,0","9,8",05:45,"19,2",10:57,69.0,81.0,00:10,38.0,10:50
2021-03-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,5","4,2","7,3",23:34,"15,7",12:57,64.0,90.0,23:30,44.0,14:20
2021-03-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"9,8","0,2","6,9",02:30,"12,7",14:37,70.0,90.0,00:00,55.0,13:20
2021-03-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,1","0,0","8,1",05:37,"14,1",13:26,42.0,63.0,00:50,32.0,20:00
2021-03-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,2","0,0","6,9",05:27,"15,4",15:45,49.0,78.0,Varias,30.0,10:10
2021-03-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,9","0,0","9,6",04:00,"18,2",15:03,50.0,81.0,23:50,33.0,13:50
2021-03-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,5","0,0","10,1",05:40,"16,9",14:09,69.0,83.0,Varias,53.0,09:20
2021-03-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","9,5",05:51,"17,7",13:48,71.0,85.0,02:10,57.0,13:40
2021-03-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","9,8",04:18,"17,5",13:35,77.0,88.0,06:40,61.0,09:00
2021-03-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,0","0,0","12,3",04:02,"17,6",11:56,75.0,85.0,23:50,66.0,11:20
2021-03-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,9","0,0","12,8",04:45,"17,0",10:21,71.0,89.0,Varias,64.0,Varias
2021-03-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,3","0,0","11,1",06:02,"17,5",14:09,74.0,84.0,04:10,63.0,20:20
2021-03-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,2","0,0","10,4",04:27,"18,1",Varias,55.0,85.0,20:40,41.0,11:50
2021-03-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","0,0","11,6",05:28,"16,4",12:34,73.0,91.0,Varias,62.0,Varias
2021-03-31,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,0","0,0","10,7",06:03,"17,3",14:01,75.0,91.0,00:10,55.0,08:30
2021-04-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,6","0,0","10,1",04:54,"19,0",15:14,54.0,74.0,00:00,44.0,09:40
2021-04-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,6","0,0","13,4",05:46,"19,7",15:40,63.0,72.0,21:50,43.0,16:00
2021-04-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,0","0,0","13,4",04:08,"22,5",11:35,62.0,76.0,20:10,38.0,12:00
2021-04-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","13,5",03:40,"18,0",14:59,57.0,76.0,00:20,47.0,12:40
2021-04-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","12,1",06:06,"19,4",10:15,60.0,84.0,Varias,46.0,13:00
2021-04-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,5","0,6","12,1",04:21,"16,9",14:59,62.0,85.0,03:50,52.0,06:20
2021-04-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,8","0,0","9,4",09:01,"14,1",15:10,58.0,84.0,Varias,45.0,15:50
2021-04-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,0","10,4",00:01,"15,9",12:37,53.0,70.0,23:59,44.0,Varias
2021-04-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,6","0,0","10,2",01:42,"15,1",09:56,69.0,80.0,21:10,59.0,09:00
2021-04-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,1","0,8","12,1",22:40,"14,1",17:34,84.0,91.0,13:50,72.0,03:30
2021-04-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,4","8,2","11,9",23:52,"16,8",14:18,82.0,92.0,01:20,73.0,Varias
2021-04-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,4","0,0","8,9",06:27,"15,9",13:13,64.0,94.0,Varias,48.0,13:30
