,precision,recall,f1-score,support
No mosquitos,0.5238095238095238,0.275,0.36065573770491804,80.0
Sí mosquitos,0.8152866242038217,0.927536231884058,0.8677966101694915,276.0
macro avg,0.6695480740066728,0.601268115942029,0.6142261739372048,356.0
weighted avg,0.7497861522051031,0.7808988764044944,0.7538323691662167,356.0
