id,code,date,longitude,latitude,ref_system,nuts0_id,nuts0_name,nuts3_id,nuts3_name,lau_id,lau_name,type,validation,category,ai value,larvae,bite_count,bite_location,bite_time,map_link,Fecha
91363ea2-f4c1-4a78-9453-f5ce59580870,rWDZ,2021-05-26 07:07:55.407331+00:00,2.13692732084914,41.4013825014062,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/91363ea2-f4c1-4a78-9453-f5ce59580870,2021-05-26
fd921317-a0ae-4c5d-8bfd-180fd9117efc,zHTc,2021-04-28 06:59:34.690307+00:00,2.1791061,41.4199606,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/fd921317-a0ae-4c5d-8bfd-180fd9117efc,2021-04-28
1b05907c-c6fd-4615-811f-1df39cab252b,jtFU,2023-05-24 09:02:04.365292+00:00,2.1739041,41.4101103,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/1b05907c-c6fd-4615-811f-1df39cab252b,2023-05-24
1c4d3739-d09d-41e9-aa9e-88fec635352d,k5Y1,2023-05-24 08:07:35.608382+00:00,2.1685279,41.409353,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/1c4d3739-d09d-41e9-aa9e-88fec635352d,2023-05-24
aa65c01b-4737-479d-8f48-e0040b5ad55f,MDPp,2021-04-26 11:43:07.455197+00:00,2.1750738,41.4181583,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/aa65c01b-4737-479d-8f48-e0040b5ad55f,2021-04-26
d1b10752-34f3-41d6-8d56-dbf380a600b5,96VD,2022-05-26 10:28:52.257409+00:00,2.1477383,41.4381283,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/d1b10752-34f3-41d6-8d56-dbf380a600b5,2022-05-26
641e7198-f07c-4a90-b4b6-06d22aad4d6c,svA5,2021-04-30 09:02:50.709615+00:00,2.179753,41.4482422,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/641e7198-f07c-4a90-b4b6-06d22aad4d6c,2021-04-30
f5168343-9eb0-49dc-994a-d481c3f29c24,SxYH,2022-05-26 08:56:34.146162+00:00,2.1424966,41.435292,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/f5168343-9eb0-49dc-994a-d481c3f29c24,2022-05-26
b6383261-5f6c-4636-8e1d-1b6c27e493d5,VQ8I,2023-05-09 11:17:50.594034+00:00,2.1435563,41.4314012,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/b6383261-5f6c-4636-8e1d-1b6c27e493d5,2023-05-09
77ef9888-448a-48e4-9d12-9249a5b5c455,cJKv,2021-05-26 07:15:29.847148+00:00,2.1360239,41.3982235,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/77ef9888-448a-48e4-9d12-9249a5b5c455,2021-05-26
